"filename", "language", "Vue.js", "JavaScript", "CSS", "comment", "blank", "total"
"f:\VSCodeWorkspace\dms\src\App.vue", "Vue.js", 15, 0, 0, 0, 3, 18
"f:\VSCodeWorkspace\dms\src\api\data-http.js", "JavaScript", 0, 43, 0, 2, 8, 53
"f:\VSCodeWorkspace\dms\src\api\device-api.js", "JavaScript", 0, 23, 0, 5, 2, 30
"f:\VSCodeWorkspace\dms\src\api\device-card-api.js", "JavaScript", 0, 23, 0, 5, 3, 31
"f:\VSCodeWorkspace\dms\src\api\operation-api.js", "JavaScript", 0, 27, 0, 6, 1, 34
"f:\VSCodeWorkspace\dms\src\api\websocket.js", "JavaScript", 0, 5, 0, 0, 4, 9
"f:\VSCodeWorkspace\dms\src\components\dev-dashboard\AiQinEGOS600A.vue", "Vue.js", 368, 0, 0, 4, 4, 376
"f:\VSCodeWorkspace\dms\src\components\dev-dashboard\BLTA8.vue", "Vue.js", 253, 0, 0, 1, 2, 256
"f:\VSCodeWorkspace\dms\src\components\dev-dashboard\MindaryT8.vue", "Vue.js", 377, 0, 0, 2, 2, 381
"f:\VSCodeWorkspace\dms\src\components\dev-dashboard\MindaryWATOEX65.vue", "Vue.js", 260, 0, 0, 1, 2, 263
"f:\VSCodeWorkspace\dms\src\components\dev-dashboard\NoRealTimeData.vue", "Vue.js", 24, 0, 0, 1, 2, 27
"f:\VSCodeWorkspace\dms\src\components\dev-dashboard\NuoHeNw9002S.vue", "Vue.js", 150, 0, 0, 2, 3, 155
"f:\VSCodeWorkspace\dms\src\components\dev-dashboard\PuKeYy106.vue", "Vue.js", 142, 0, 0, 5, 4, 151
"f:\VSCodeWorkspace\dms\src\components\dev-dashboard\YiAn8700A.vue", "Vue.js", 266, 0, 0, 2, 3, 271
"f:\VSCodeWorkspace\dms\src\components\login-layout\LoginInForm.vue", "Vue.js", 83, 0, 0, 0, 2, 85
"f:\VSCodeWorkspace\dms\src\components\login-layout\Logo.vue", "Vue.js", 30, 0, 0, 0, 2, 32
"f:\VSCodeWorkspace\dms\src\components\main-layout\Banner.vue", "Vue.js", 36, 0, 0, 0, 3, 39
"f:\VSCodeWorkspace\dms\src\components\main-layout\SideMenuNav.vue", "Vue.js", 70, 0, 0, 1, 3, 74
"f:\VSCodeWorkspace\dms\src\components\page-dev-anesthesia-layout\OpeInfosOfSpecificAnesthesia.vue", "Vue.js", 33, 0, 0, 0, 1, 34
"f:\VSCodeWorkspace\dms\src\components\page-dev-depth-of-anesthesia-layout\OpeInfosOfSpecificDoaDev.vue", "Vue.js", 33, 0, 0, 0, 1, 34
"f:\VSCodeWorkspace\dms\src\components\page-dev-monitor-layout\OpeInfosOfSpecificMonitor.vue", "Vue.js", 33, 0, 0, 0, 1, 34
"f:\VSCodeWorkspace\dms\src\components\page-dev-nibp-layout\OpeInfosOfSpecificNibp.vue", "Vue.js", 26, 0, 0, 0, 1, 27
"f:\VSCodeWorkspace\dms\src\components\page-dev-noninvasive-brain-oxygen-layout\OpeInfosOfSpecificNoninvasiveBrainOxygen.vue", "Vue.js", 26, 0, 0, 0, 1, 27
"f:\VSCodeWorkspace\dms\src\components\page-dev-noninvasive-hemoglobin-layout\OpeInfosOfSpecificNoninvasiveHemoglobin.vue", "Vue.js", 26, 0, 0, 0, 1, 27
"f:\VSCodeWorkspace\dms\src\components\page-home-layout\DevCategoryPie.vue", "Vue.js", 58, 0, 0, 2, 2, 62
"f:\VSCodeWorkspace\dms\src\components\page-home-layout\DevHistoryCollectTimeChart.vue", "Vue.js", 59, 0, 0, 0, 2, 61
"f:\VSCodeWorkspace\dms\src\components\page-home-layout\DevHistoryTurnOnNumChart.vue", "Vue.js", 58, 0, 0, 0, 2, 60
"f:\VSCodeWorkspace\dms\src\components\page-home-layout\OpeHistoryChart.vue", "Vue.js", 58, 0, 0, 0, 2, 60
"f:\VSCodeWorkspace\dms\src\components\page-home-layout\OpeTable.vue", "Vue.js", 96, 0, 0, 2, 2, 100
"f:\VSCodeWorkspace\dms\src\components\page-home-layout\RealTimePanel.vue", "Vue.js", 181, 0, 0, 7, 5, 193
"f:\VSCodeWorkspace\dms\src\components\page-home-layout\TotalDevPanel.vue", "Vue.js", 47, 0, 0, 0, 2, 49
"f:\VSCodeWorkspace\dms\src\components\page-home-layout\TotalOpePanel.vue", "Vue.js", 47, 0, 0, 0, 2, 49
"f:\VSCodeWorkspace\dms\src\components\share-components\xBasicChart.vue", "Vue.js", 114, 0, 0, 11, 2, 127
"f:\VSCodeWorkspace\dms\src\components\share-components\xDevHistoryDataModal.vue", "Vue.js", 72, 0, 0, 3, 2, 77
"f:\VSCodeWorkspace\dms\src\components\share-components\xDevInfoCard.vue", "Vue.js", 338, 0, 0, 17, 6, 361
"f:\VSCodeWorkspace\dms\src\components\share-components\xInnerPieChart.vue", "Vue.js", 93, 0, 0, 6, 2, 101
"f:\VSCodeWorkspace\dms\src\components\share-components\xOpeDetailInfo.vue", "Vue.js", 237, 0, 0, 2, 2, 241
"f:\VSCodeWorkspace\dms\src\components\share-components\xPieChart.vue", "Vue.js", 113, 0, 0, 10, 2, 125
"f:\VSCodeWorkspace\dms\src\components\share-components\xSpecificDevEvaluationContent.vue", "Vue.js", 135, 0, 0, 2, 3, 140
"f:\VSCodeWorkspace\dms\src\css\animation.css", "CSS", 0, 0, 17, 0, 1, 18
"f:\VSCodeWorkspace\dms\src\css\badge.css", "CSS", 0, 0, 25, 4, 1, 30
"f:\VSCodeWorkspace\dms\src\css\bg-color.css", "CSS", 0, 0, 17, 1, 4, 22
"f:\VSCodeWorkspace\dms\src\css\box.css", "CSS", 0, 0, 46, 4, 5, 55
"f:\VSCodeWorkspace\dms\src\css\button.css", "CSS", 0, 0, 68, 3, 6, 77
"f:\VSCodeWorkspace\dms\src\css\dms.css", "CSS", 0, 0, 32, 0, 2, 34
"f:\VSCodeWorkspace\dms\src\css\flex.css", "CSS", 0, 0, 79, 0, 12, 91
"f:\VSCodeWorkspace\dms\src\css\remove-default.css", "CSS", 0, 0, 32, 3, 6, 41
"f:\VSCodeWorkspace\dms\src\css\table.css", "CSS", 0, 0, 56, 3, 13, 72
"f:\VSCodeWorkspace\dms\src\global\filters.js", "JavaScript", 0, 18, 0, 0, 3, 21
"f:\VSCodeWorkspace\dms\src\main.js", "JavaScript", 0, 26, 0, 0, 6, 32
"f:\VSCodeWorkspace\dms\src\router.js", "JavaScript", 0, 82, 0, 0, 5, 87
"f:\VSCodeWorkspace\dms\src\utils\util.js", "JavaScript", 0, 44, 0, 4, 9, 57
"f:\VSCodeWorkspace\dms\src\views\LoginLayout.vue", "Vue.js", 57, 0, 0, 0, 3, 60
"f:\VSCodeWorkspace\dms\src\views\MainLayout.vue", "Vue.js", 81, 0, 0, 0, 2, 83
"f:\VSCodeWorkspace\dms\src\views\PageDevAnesthesiaLayout.vue", "Vue.js", 15, 0, 0, 0, 1, 16
"f:\VSCodeWorkspace\dms\src\views\PageDevDepthOfAnesthesiaLayout.vue", "Vue.js", 15, 0, 0, 0, 1, 16
"f:\VSCodeWorkspace\dms\src\views\PageDevMonitorLayout.vue", "Vue.js", 15, 0, 0, 0, 1, 16
"f:\VSCodeWorkspace\dms\src\views\PageDevNibpLayout.vue", "Vue.js", 15, 0, 0, 0, 1, 16
"f:\VSCodeWorkspace\dms\src\views\PageDevNoninvasiveBrainOxygenLayout.vue", "Vue.js", 15, 0, 0, 0, 1, 16
"f:\VSCodeWorkspace\dms\src\views\PageDevNoninvasiveHemoglobinLayout.vue", "Vue.js", 15, 0, 0, 0, 1, 16
"f:\VSCodeWorkspace\dms\src\views\PageHomeLayout.vue", "Vue.js", 55, 0, 0, 0, 3, 58
"f:\VSCodeWorkspace\dms\src\x-views\xAlert\xAlert.js", "JavaScript", 0, 32, 0, 0, 1, 33
"f:\VSCodeWorkspace\dms\src\x-views\xAlert\xAlert.vue", "Vue.js", 48, 0, 0, 0, 3, 51
"f:\VSCodeWorkspace\dms\src\x-views\xBadge.vue", "Vue.js", 22, 0, 0, 3, 3, 28
"f:\VSCodeWorkspace\dms\src\x-views\xBox.vue", "Vue.js", 13, 0, 0, 0, 4, 17
"f:\VSCodeWorkspace\dms\src\x-views\xButton.vue", "Vue.js", 35, 0, 0, 4, 3, 42
"f:\VSCodeWorkspace\dms\src\x-views\xList.vue", "Vue.js", 53, 0, 0, 1, 2, 56
"f:\VSCodeWorkspace\dms\src\x-views\xModal.vue", "Vue.js", 37, 0, 0, 0, 3, 40
"f:\VSCodeWorkspace\dms\src\x-views\xPager.vue", "Vue.js", 154, 0, 0, 6, 3, 163
"f:\VSCodeWorkspace\dms\src\x-views\xTable.vue", "Vue.js", 47, 0, 0, 5, 3, 55
"Total", "-", 4649, 323, 372, 140, 209, 5693
